bhk,area,price_lakh,price_per_sqft,area_per_bhk,region_encoded,type_Independent House,type_Penthouse,type_Studio Apartment,type_Villa,status_Under Construction,age_Resale,age_Unknown,log_price
3,685,250.0,36496.3503649635,228.33333333333334,214.9569558723846,False,False,False,False,False,False,False,5.5254529391317835
2,640,52.51,8204.6875,320.0,40.86917381174549,False,False,False,False,True,False,False,3.979868552323213
2,610,173.0,28360.655737704918,305.0,175.91373833035422,False,False,False,False,True,False,False,5.159055299214529
2,876,59.98,6847.03196347032,438.0,80.92040582439022,False,False,False,False,True,False,False,4.110545941560109
2,659,94.11,14280.72837632777,329.5,80.99736040543259,False,False,False,False,True,False,False,4.555034116494294
2,826,330.0,39951.573849878936,413.0,217.06325224818104,False,False,False,False,True,False,False,5.802118375377063
3,778,289.0,37146.529562982,259.3333333333333,192.72574132258737,False,False,False,False,True,False,False,5.66988092298052
1,396,29.84,7535.353535353535,396.0,35.39622762535744,False,False,False,False,False,False,False,3.4288125486951286
2,671,272.0,40536.51266766021,335.5,132.92030732264678,False,False,False,False,True,False,False,5.60947179518496
1,502,16.56,3298.8047808764936,502.0,33.381025598325536,False,False,True,False,True,False,False,2.8656235882069705
2,950,41.75,4394.736842105263,475.0,72.81203281300759,False,False,False,False,True,False,False,3.755369195382769
3,753,177.0,23505.97609561753,251.0,173.4314643591054,False,False,False,False,True,False,False,5.181783550292085
2,605,155.0,25619.834710743802,302.5,154.5414235091389,False,False,False,False,True,False,False,5.049856007249537
1,557,58.5,10502.692998204668,557.0,54.37652506399312,False,False,False,False,True,False,False,4.085976312551584
2,635,83.0,13070.866141732284,317.5,80.58596431671249,False,False,False,False,True,False,False,4.430816798843313
1,450,139.0,30888.88888888889,450.0,217.4206667645116,False,False,False,False,True,False,False,4.941642422609304
3,1259,280.0,22239.872915011914,419.6666666666667,145.5532452872774,False,False,False,False,False,False,False,5.638354669333745
2,555,142.0,25585.585585585584,277.5,126.4613880545538,False,False,False,False,True,False,False,4.962844630259907
2,582,149.0,25601.374570446736,291.0,115.71997440996363,False,False,False,False,True,False,False,5.0106352940962555
1,483,37.52,7768.115942028987,483.0,49.83437662994102,False,False,False,False,True,False,False,3.651177586929925
1,320,69.9,21843.750000000004,320.0,173.4314643591054,False,False,False,False,True,False,False,4.2612704335380815
1,396,42.99,10856.060606060606,396.0,126.4613880545538,False,False,False,False,True,False,False,3.7839623353606284
2,638,126.0,19749.21630094044,319.0,120.38116463483324,False,False,False,False,True,False,False,4.844187086458591
2,1047,49.58,4735.434574976122,523.5,43.581868493629244,False,False,False,False,True,False,False,3.923556241241819
2,1080,57.24,5300.0,540.0,49.83437662994102,False,False,False,False,False,False,False,4.06457240388843
2,555,131.0,23603.603603603602,277.5,159.61799580374208,False,False,False,False,True,False,False,4.882801922586371
1,261,47.5,18199.233716475097,261.0,80.92040582439022,False,False,False,False,True,False,False,3.8815637979434374
2,594,34.5,5808.080808080808,297.0,43.581868493629244,False,False,False,False,False,False,False,3.56953269648137
1,445,34.14,7671.91011235955,445.0,41.84759169743622,False,False,False,False,True,False,False,3.559340082758951
1,409,32.0,7823.960880195599,409.0,80.92040582439022,False,False,False,False,True,False,False,3.4965075614664802
4,1874,270.0,14407.684098185699,468.5,126.3770527009414,False,False,False,False,True,False,False,5.602118820879701
1,450,54.99,12220.0,450.0,79.4171189547972,False,False,False,False,True,False,False,4.025173103360802
3,859,137.0,15948.777648428406,286.3333333333333,80.92040582439022,False,False,False,False,True,False,False,4.927253685157205
2,720,131.0,18194.444444444445,360.0,126.4613880545538,False,False,False,False,True,False,False,4.882801922586371
1,404,58.0,14356.435643564357,404.0,77.87313656153901,False,False,False,False,True,False,False,4.07753744390572
2,604,144.0,23841.059602649006,302.0,147.93148614995454,False,False,False,False,True,False,False,4.976733742420574
3,1116,285.0,25537.63440860215,372.0,188.36403431960096,False,False,False,False,True,False,False,5.655991810819852
1,701,30.99,4420.827389443652,701.0,38.84665177047768,True,False,False,False,True,False,False,3.4654233539614268
3,902,259.0,28713.968957871395,300.6666666666667,181.57247101851303,False,False,False,False,True,False,False,5.560681631015528
2,990,45.45,4590.909090909091,495.0,49.20071927664729,False,False,False,False,True,False,False,3.8383764652598478
1,313,27.56,8805.111821086262,313.0,63.84933454449511,False,False,False,False,True,False,False,3.3520071374713836
1,409,30.15,7371.638141809291,409.0,126.4613880545538,False,False,False,False,True,False,False,3.4388142452334622
2,560,132.0,23571.428571428572,280.0,188.36403431960096,False,False,False,False,True,False,False,4.890349128221754
1,448,134.0,29910.714285714286,448.0,158.51313721345065,False,False,False,False,True,False,False,4.90527477843843
1,386,27.96,7243.5233160621765,386.0,49.20071927664729,False,False,False,False,False,False,False,3.365915567517516
2,539,46.21,8573.283858998144,269.5,91.73436703697801,False,False,False,False,True,False,False,3.8546057345581954
3,1625,145.0,8923.076923076924,541.6666666666666,79.4171189547972,False,False,False,False,False,False,False,4.983606621708336
2,739,295.0,39918.809201623815,369.5,132.92030732264678,False,False,False,False,True,False,False,5.69035945432406
1,635,20.95,3299.212598425197,635.0,33.381025598325536,False,False,False,False,True,False,False,3.08876713952118
1,477,51.0,10691.82389937107,477.0,54.37652506399312,False,False,False,False,True,False,False,3.9512437185814275
2,515,124.0,24077.66990291262,257.5,126.4613880545538,False,False,False,False,True,False,False,4.8283137373023015
2,720,57.07,7926.388888888889,360.0,49.83437662994102,False,False,False,False,True,False,False,4.061649179383958
1,465,90.0,19354.83870967742,465.0,120.38116463483324,False,False,False,False,True,False,False,4.51085950651685
1,261,47.49,18195.402298850575,261.0,80.92040582439022,False,False,False,False,True,False,False,3.881357591117261
2,528,31.5,5965.909090909091,264.0,43.581868493629244,False,False,False,False,False,False,False,3.481240089335692
2,586,45.03,7684.300341296928,293.0,41.84759169743622,False,False,False,False,True,False,False,3.82929335782915
2,563,42.0,7460.035523978686,281.5,80.92040582439022,False,False,False,False,True,False,False,3.7612001156935624
2,990,151.0,15252.525252525253,495.0,126.3770527009414,False,False,False,False,True,False,False,5.0238805208462765
2,709,113.99999999999999,16078.984485190407,354.5,80.92040582439022,False,False,False,False,True,False,False,4.74493212836325
4,1300,254.0,19538.46153846154,325.0,126.4613880545538,False,False,False,False,True,False,False,5.541263545158426
2,628,90.0,14331.210191082802,314.0,77.87313656153901,False,False,False,False,True,False,False,4.51085950651685
2,587,140.0,23850.085178875637,293.5,147.93148614995454,False,False,False,False,True,False,False,4.948759890378168
3,1056,245.00000000000003,23200.75757575758,352.0,188.36403431960096,False,False,False,False,True,False,False,5.505331535932363
1,695,31.8,4575.5395683453235,695.0,49.20071927664729,False,False,False,False,True,False,False,3.490428515390098
1,270,20.39,7551.851851851852,270.0,126.4613880545538,False,False,True,False,True,False,False,3.062923523094314
2,625,147.0,23520.0,312.5,188.36403431960096,False,False,False,False,True,False,False,4.997212273764115
2,639,191.0,29890.453834115808,319.5,158.51313721345065,False,False,False,False,True,False,False,5.2574953720277815
2,614,44.44,7237.785016286645,307.0,49.20071927664729,False,False,False,False,False,False,False,3.816392774412896
1,365,29.02,7950.684931506849,365.0,91.73436703697801,False,False,False,False,True,False,False,3.401863826205316
1,750,57.0,7600.0,750.0,79.4171189547972,False,False,False,False,True,False,False,4.060443010546419
1,425,33.49,7880.0,425.0,40.86917381174549,False,False,False,False,True,False,False,3.5406694269487495
3,845,235.0,27810.650887573964,281.6666666666667,175.91373833035422,False,False,False,False,True,False,False,5.4638318050256105
1,473,69.65,14725.158562367867,473.0,80.99736040543259,False,False,False,False,True,False,False,4.257738109130536
2,618,50.5,8171.521035598706,309.0,40.86917381174549,False,False,False,False,True,False,False,3.9415818076696905
1,430,34.91,8118.604651162789,430.0,40.86917381174549,False,False,False,False,True,False,False,3.5810158082379915
1,425,36.0,8470.588235294117,425.0,54.48903615882791,False,False,False,False,True,False,False,3.6109179126442243
2,651,56.0,8602.150537634408,325.5,54.48903615882791,False,False,False,False,True,False,False,4.04305126783455
3,946,138.0,14587.737843551797,315.3333333333333,80.99736040543259,False,False,False,False,True,False,False,4.9344739331306915
2,667,94.99,14241.379310344828,333.5,80.99736040543259,False,False,False,False,True,False,False,4.564244019375446
2,682,97.14,14243.401759530792,341.0,80.99736040543259,False,False,False,False,True,False,False,4.586395030661757
2,579,181.0,31260.794473229707,289.5,192.72574132258737,False,False,False,False,True,False,False,5.204006687076795
2,486,36.0,7407.407407407408,243.0,35.39622762535744,False,False,False,False,False,False,False,3.6109179126442243
1,361,28.0,7756.232686980609,361.0,35.39622762535744,False,False,False,False,False,False,False,3.367295829986474
